Id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
1,Chickie,Brister,Male,86,7/12/1957,66,Old,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,1,1.71875
2,Morly,Genery,Male,69,3/22/1970,53,Middle Age,Structural Engineer,Property,Mass Customer,N,No,16,14 Mccormick Park,2113,NSW,Australia,11,1,1.71875
3,Ardelis,Forrester,Female,10,8/28/1974,49,Middle Age,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5,1,1.71875
4,Lucine,Stutt,Female,64,1/28/1979,44,Middle Age,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.703125
5,Melinda,Hadlee,Female,34,9/21/1965,57,Middle Age,Financial Analyst,Financial Services,Affluent Customer,N,No,19,115 Montana Place,2093,NSW,Australia,9,4,1.703125
6,Druci,Brandli,Female,39,4/29/1951,72,Old,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,6,1.671875
7,Rutledge,Hallt,Male,23,10/6/1976,46,Middle Age,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7 Nevada Crossing,2620,NSW,Australia,7,6,1.671875
8,Nancie,Vian,Female,74,12/27/1972,50,Middle Age,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,85 Carioca Point,4814,QLD,Australia,5,8,1.65625
9,Duff,Karlowicz,Male,50,4/28/1972,51,Middle Age,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,717 West Drive,2200,NSW,Australia,10,8,1.65625
10,Barthel,Docket,Male,72,8/2/1985,38,Young,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.640625
11,Rockwell,Matson,Male,94,1/1/1995,28,Young,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.640625
12,Wheeler,Winward,Male,48,8/30/1999,24,Young,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.625
13,Olag,,Male,60,5/13/1990,33,Young,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,13,1.609375
14,Melba,Spellacy,Female,38,12/9/1976,46,Middle Age,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375
15,Mandie,Feares,Female,32,4/19/1964,59,Middle Age,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375
16,Dukie,Swire,Male,88,3/31/1954,69,Old,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625
17,Marcelia,Monkleigh,Female,61,8/22/1993,30,Young,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875
18,Winnifred,Beswetherick,Female,83,6/8/1976,47,Middle Age,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,17,1.546875
19,Odilia,Quick,Female,65,11/9/1938,84,Very Old,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125
20,Karly,Willavize,Female,2,8/12/1954,69,Old,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,19,1.53125
21,Teddie,Burchill,Male,11,12/21/1968,54,Middle Age,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625
22,Gaston,Dallaghan,Male,44,9/29/1993,29,Young,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625
23,Otis,Ottey,Male,26,2/5/1998,25,Young,Quality Engineer,n/a,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5
24,Tabbatha,Averill,Female,5,12/17/1977,45,Middle Age,Quality Control Specialist,n/a,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5
25,Brena,Schnitter,Female,78,10/11/1982,40,Middle Age,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375
26,Rourke,Gillbard,Male,11,8/3/1945,78,Old,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875
27,Dyane,Burwell,Female,19,6/27/1952,71,Old,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875
